,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs
1141,WetDep_SO4_mgm2,2016,6,29.610174210430944,18.118852624413147,2016-06-01,9.638982331229911,9.501662469950427,11.491321586017797
1142,WetDep_SO4_mgm2,2016,7,25.282426045663282,15.435475723958334,2016-07-01,9.638982331229911,9.501662469950427,9.846950321704949
1143,WetDep_SO4_mgm2,2016,8,35.184519830190006,21.26143449029126,2016-08-01,9.638982331229911,9.501662469950427,13.923085339898744
1144,WetDep_SO4_mgm2,2016,9,27.54675773638808,12.138136831730769,2016-09-01,9.638982331229911,9.501662469950427,15.408620904657312
1145,WetDep_SO4_mgm2,2016,10,22.884043722470597,12.032756335135135,2016-10-01,9.638982331229911,9.501662469950427,10.851287387335462
1146,WetDep_SO4_mgm2,2016,11,17.08808951600149,13.213539287081339,2016-11-01,9.638982331229911,9.501662469950427,3.8745502289201497
1147,WetDep_SO4_mgm2,2016,12,17.047245395328204,15.953686344036697,2016-12-01,9.638982331229911,9.501662469950427,1.093559051291507
1148,WetDep_SO4_mgm2,2017,1,18.57073592507243,15.815509038461538,2017-01-01,9.638982331229911,9.501662469950427,2.7552268866108918
1149,WetDep_SO4_mgm2,2017,2,16.388856295642515,12.15507397285068,2017-02-01,9.638982331229911,9.501662469950427,4.233782322791836
1150,WetDep_SO4_mgm2,2017,3,28.403904364653023,19.595937982222225,2017-03-01,9.638982331229911,9.501662469950427,8.807966382430799
1151,WetDep_SO4_mgm2,2017,4,32.85185121023066,24.81868356372549,2017-04-01,9.638982331229911,9.501662469950427,8.033167646505174
1152,WetDep_SO4_mgm2,2017,5,35.635588635512995,26.436706779904306,2017-05-01,9.638982331229911,9.501662469950427,9.19888185560869
1153,WetDep_SO4_mgm2,2017,6,21.98377248761389,16.285286168421052,2017-06-01,9.638982331229911,9.501662469950427,5.698486319192838
1154,WetDep_SO4_mgm2,2017,7,33.50569241438704,19.42992926035503,2017-07-01,9.638982331229911,9.501662469950427,14.07576315403201
1155,WetDep_SO4_mgm2,2017,8,35.31303879495178,18.979773626168225,2017-08-01,9.638982331229911,9.501662469950427,16.333265168783555
1156,WetDep_SO4_mgm2,2017,9,22.877215124439687,12.571977055837564,2017-09-01,9.638982331229911,9.501662469950427,10.305238068602122
1157,WetDep_SO4_mgm2,2017,10,17.441215465542275,10.119652543010753,2017-10-01,9.638982331229911,9.501662469950427,7.3215629225315215
1158,WetDep_SO4_mgm2,2017,11,19.789511911267223,13.639874142156863,2017-11-01,9.638982331229911,9.501662469950427,6.14963776911036
1159,WetDep_SO4_mgm2,2017,12,14.863441958760495,11.534553794999999,2017-12-01,9.638982331229911,9.501662469950427,3.328888163760496
1160,WetDep_SO4_mgm2,2018,1,11.484044073578058,8.536516797235024,2018-01-01,9.638982331229911,9.501662469950427,2.9475272763430347
1161,WetDep_SO4_mgm2,2018,2,24.54535671007287,18.764406633802817,2018-02-01,9.638982331229911,9.501662469950427,5.780950076270052
1162,WetDep_SO4_mgm2,2018,3,17.866497498801355,12.66483766826923,2018-03-01,9.638982331229911,9.501662469950427,5.201659830532124
1163,WetDep_SO4_mgm2,2018,4,29.3980583908519,22.43099429850746,2018-04-01,9.638982331229911,9.501662469950427,6.96706409234444
1164,WetDep_SO4_mgm2,2018,5,32.52628618008451,22.124797454081634,2018-05-01,9.638982331229911,9.501662469950427,10.401488726002878
1165,WetDep_SO4_mgm2,2018,6,26.849346763438806,16.83361487283237,2018-06-01,9.638982331229911,9.501662469950427,10.015731890606435
