,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
543,WetDep_NH4_mgm2,2008,10,1.9937453985410165,2.058501538461538,2008-10-01,1.1815110793902779,1.4214069753652272,0.06475613992052165,0.9612657549677153
544,WetDep_NH4_mgm2,2008,11,1.9907225632133938,2.238634766423358,2008-11-01,1.1815110793902779,1.4214069753652272,0.2479122032099641,0.8661887844784062
545,WetDep_NH4_mgm2,2008,12,3.060252163199657,3.3098255923913045,2008-12-01,1.1815110793902779,1.4214069753652272,0.24957342919164738,1.978698939516709
546,WetDep_NH4_mgm2,2009,1,1.9169510602774864,1.96663673880597,2009-01-01,1.1815110793902779,1.4214069753652272,0.0496856785284836,0.8910319434267455
547,WetDep_NH4_mgm2,2009,2,1.2041993244436469,1.4749483518518518,2009-02-01,1.1815110793902779,1.4214069753652272,0.27074902740820495,0.02063806079014241
548,WetDep_NH4_mgm2,2009,3,3.4615380905800275,4.133074910569106,2009-03-01,1.1815110793902779,1.4214069753652272,0.6715368199890785,2.267538544015294
549,WetDep_NH4_mgm2,2009,4,6.419441991796967,6.862913550561798,2009-04-01,1.1815110793902779,1.4214069753652272,0.4434715587648306,5.350359420549884
550,WetDep_NH4_mgm2,2009,5,5.276300423626178,5.878243668918919,2009-05-01,1.1815110793902779,1.4214069753652272,0.6019432452927411,4.162216084797144
551,WetDep_NH4_mgm2,2009,6,4.731964084962141,4.600763557251908,2009-06-01,1.1815110793902779,1.4214069753652272,0.1312005277102326,3.7596905269542047
552,WetDep_NH4_mgm2,2009,7,3.3322135895223086,3.148794692307692,2009-07-01,1.1815110793902779,1.4214069753652272,0.18341889721461646,2.3872577492938647
553,WetDep_NH4_mgm2,2009,8,2.0007049000143695,1.9801646076923078,2009-08-01,1.1815110793902779,1.4214069753652272,0.02054029232206167,1.0109714277376305
554,WetDep_NH4_mgm2,2009,9,2.508475024953894,2.5251557727272727,2009-09-01,1.1815110793902779,1.4214069753652272,0.0166807477733788,1.5018252685850078
555,WetDep_NH4_mgm2,2009,10,3.6937652062698643,3.6945430470588234,2009-10-01,1.1815110793902779,1.4214069753652272,0.0007778407889591499,2.69355462418207
556,WetDep_NH4_mgm2,2009,11,2.262395813854789,2.2353741575342463,2009-11-01,1.1815110793902779,1.4214069753652272,0.027021656320542764,1.2743396373692526
557,WetDep_NH4_mgm2,2009,12,2.4269055102483676,2.499582155080214,2009-12-01,1.1815110793902779,1.4214069753652272,0.07267664483184655,1.396959290865311
558,WetDep_NH4_mgm2,2010,1,1.5899742171758096,1.459634109589041,2010-01-01,1.1815110793902779,1.4214069753652272,0.1303401075867685,0.6719504569026933
559,WetDep_NH4_mgm2,2010,2,1.5018521505516438,1.5707021056338026,2010-02-01,1.1815110793902779,1.4214069753652272,0.06884995508215885,0.45600878637170794
560,WetDep_NH4_mgm2,2010,3,4.454173121867023,4.643604603448276,2010-03-01,1.1815110793902779,1.4214069753652272,0.189431481581253,3.411644132445559
561,WetDep_NH4_mgm2,2010,4,4.49677244624543,4.624700242647059,2010-04-01,1.1815110793902779,1.4214069753652272,0.12792779640162877,3.4683236425910575
562,WetDep_NH4_mgm2,2010,5,4.778298100952296,5.25691125477707,2010-05-01,1.1815110793902779,1.4214069753652272,0.47861315382477443,3.6781341631415954
563,WetDep_NH4_mgm2,2010,6,4.377225879747321,4.587064222972972,2010-06-01,1.1815110793902779,1.4214069753652272,0.20983834322565098,3.3292872197397267
564,WetDep_NH4_mgm2,2010,7,2.1436778566353647,1.9964796475409836,2010-07-01,1.1815110793902779,1.4214069753652272,0.14719820909438108,1.2123440550750022
565,WetDep_NH4_mgm2,2010,8,2.1723568046012938,2.0332860188679245,2010-08-01,1.1815110793902779,1.4214069753652272,0.13907078573336928,1.2363751948762256
566,WetDep_NH4_mgm2,2010,9,3.2225267394235675,3.208774985185185,2010-09-01,1.1815110793902779,1.4214069753652272,0.013751754238382485,2.2267941219312584
567,WetDep_NH4_mgm2,2010,10,1.8984892054899924,2.106704049019608,2010-10-01,1.1815110793902779,1.4214069753652272,0.2082148435296156,0.7888152379333129
568,WetDep_NH4_mgm2,2010,11,2.0602373988887313,2.1346017398373984,2010-11-01,1.1815110793902779,1.4214069753652272,0.07436434094866717,1.0241423639239362
569,WetDep_NH4_mgm2,2010,12,1.874118714355367,1.9719912913907285,2010-12-01,1.1815110793902779,1.4214069753652272,0.09787257703536145,0.8218954606811588
570,WetDep_NH4_mgm2,2011,1,1.6578094687471214,1.6083301292517007,2011-01-01,1.1815110793902779,1.4214069753652272,0.049479339495420716,0.6876556847497447
571,WetDep_NH4_mgm2,2011,2,1.632652066633266,1.8350118888888889,2011-02-01,1.1815110793902779,1.4214069753652272,0.20235982225562288,0.5087065999957145
572,WetDep_NH4_mgm2,2011,3,4.488157956461523,5.342711214285714,2011-03-01,1.1815110793902779,1.4214069753652272,0.8545532578241914,3.297756177799988
573,WetDep_NH4_mgm2,2011,4,6.664523104737673,8.044302545454544,2011-04-01,1.1815110793902779,1.4214069753652272,1.379779440716871,5.457489620265841
574,WetDep_NH4_mgm2,2011,5,4.57915934746573,5.248514123893806,2011-05-01,1.1815110793902779,1.4214069753652272,0.6693547764280758,3.4329851863069747
575,WetDep_NH4_mgm2,2011,6,3.433724274537351,3.6632341157024793,2011-06-01,1.1815110793902779,1.4214069753652272,0.2295098411651284,2.3668843588029835
576,WetDep_NH4_mgm2,2011,7,1.4566513532213883,1.5648653333333333,2011-07-01,1.1815110793902779,1.4214069753652272,0.10821398011194505,0.3823617987081347
577,WetDep_NH4_mgm2,2011,8,2.5601504776066335,2.5922143603603605,2011-08-01,1.1815110793902779,1.4214069753652272,0.03206388275372696,1.5476262595834407
578,WetDep_NH4_mgm2,2011,9,3.6519196965044354,3.666846881118881,2011-09-01,1.1815110793902779,1.4214069753652272,0.014927184614445643,2.647832206675803
579,WetDep_NH4_mgm2,2011,10,2.430023234355894,2.8662688108108108,2011-10-01,1.1815110793902779,1.4214069753652272,0.4362455764549167,1.2505000222782332
580,WetDep_NH4_mgm2,2011,11,2.343954106931022,2.733245763888889,2011-11-01,1.1815110793902779,1.4214069753652272,0.38929165695786727,1.177870796764351
